observation_time,formation_period,testing_period,days_analyzed,high_hold_pct,high_break_pct,low_hold_pct,low_break_pct,avg_high_value,avg_low_value,high_breaks_count,low_breaks_count
04:30,04:00 - 04:30,04:30 - 15:55,4549,11.65,88.35,12.71,87.29,73.44,73.11,4019,3971
05:00,04:00 - 05:00,05:00 - 15:55,4549,15.65,84.35,16.82,83.18,73.51,73.05,3837,3784
05:30,04:00 - 05:30,05:30 - 15:55,4549,18.84,81.16,19.94,80.06,73.56,72.99,3692,3642
06:00,04:00 - 06:00,06:00 - 15:55,4550,20.95,79.05,21.96,78.04,73.6,72.96,3597,3551
06:30,04:00 - 06:30,06:30 - 15:55,4550,23.38,76.62,24.0,76.0,73.64,72.93,3486,3458
07:00,04:00 - 07:00,07:00 - 15:55,4550,25.16,74.84,25.67,74.33,73.66,72.9,3405,3382
07:30,04:00 - 07:30,07:30 - 15:55,4551,27.16,72.84,27.25,72.75,73.69,72.87,3315,3311
08:00,04:00 - 08:00,08:00 - 15:55,4553,28.66,71.34,29.21,70.79,73.72,72.84,3248,3223
08:30,04:00 - 08:30,08:30 - 15:55,4553,31.43,68.57,31.85,68.15,73.76,72.8,3122,3103
09:00,04:00 - 09:00,09:00 - 15:55,4553,35.27,64.73,35.41,64.59,73.81,72.75,2947,2941
09:30,04:00 - 09:30,09:30 - 15:55,4554,41.85,58.15,42.18,57.82,73.88,72.66,2648,2633
10:00,04:00 - 10:00,10:00 - 15:55,4554,46.68,53.32,47.06,52.94,73.94,72.6,2428,2411
10:30,04:00 - 10:30,10:30 - 15:55,4555,52.03,47.97,52.43,47.57,74.0,72.55,2185,2167
11:00,04:00 - 11:00,11:00 - 15:55,4555,57.89,42.11,58.77,41.23,74.06,72.47,1918,1878
11:30,04:00 - 11:30,11:30 - 15:55,4555,63.49,36.51,64.92,35.08,74.1,72.42,1663,1598
12:00,04:00 - 12:00,12:00 - 15:55,4555,66.89,33.11,69.24,30.76,74.14,72.38,1508,1401
12:30,04:00 - 12:30,12:30 - 15:55,4555,70.1,29.9,72.76,27.24,74.17,72.35,1362,1241
13:00,04:00 - 13:00,13:00 - 15:55,4555,73.08,26.92,75.81,24.19,74.19,72.32,1226,1102
13:30,04:00 - 13:30,13:30 - 15:55,4555,76.6,23.4,79.41,20.59,74.21,72.29,1066,938
14:00,04:00 - 14:00,14:00 - 15:55,4555,80.55,19.45,83.07,16.93,74.24,72.27,886,771
14:30,04:00 - 14:30,14:30 - 15:55,4555,90.21,9.79,91.5,8.5,74.28,72.23,446,387
15:00,04:00 - 15:00,15:00 - 15:55,4556,93.31,6.69,94.53,5.47,74.3,72.23,305,249
15:30,04:00 - 15:30,15:30 - 15:55,4556,95.81,4.19,96.66,3.34,74.3,72.22,191,152
16:00,04:00 - 16:00,16:00 - 15:55,4556,100.0,0.0,100.0,0.0,74.31,72.22,0,0
