date,highest_high,high_time,lowest_low,low_time,RDRT_EXT_STATUS,RDRB_EXT_STATUS,RDRT_EXT_TIME,RDRB_EXT_TIME
2007-04-02,66.69,14:10:00,65.08,04:05:00,High,,09:20:00,
2007-04-03,65.7,04:10:00,63.96,10:45:00,False,Low,,10:10:00
2007-04-04,65.09,09:00:00,63.56,09:30:00,High,Low,09:00:00,09:30:00
2007-04-05,64.94,09:15:00,63.6,13:55:00,High,,09:15:00,
2007-04-09,63.98,11:05:00,61.35,14:30:00,High,Low,09:15:00,09:45:00
2007-04-10,62.28,12:45:00,61.35,08:45:00,Low,High,08:45:00,10:05:00
2007-04-11,62.56,10:50:00,61.53,13:55:00,Low,Low,09:20:00,10:10:00
2007-04-12,63.91,14:25:00,62.16,04:10:00,High,High,09:25:00,10:10:00
2007-04-13,64.58,04:40:00,63.41,15:40:00,Low,Low,09:25:00,10:05:00
2007-04-16,64.21,07:10:00,62.55,10:40:00,Low,Low,09:25:00,10:25:00
2007-04-17,64.64,09:20:00,63.05,14:25:00,High,,09:20:00,
2007-04-18,64.77,04:00:00,63.5,10:35:00,False,False,,
2007-04-19,64.84,06:05:00,63.0,10:55:00,Low,Low,09:05:00,09:45:00
2007-04-20,64.27,14:45:00,63.15,10:00:00,Low,Low,09:00:00,10:00:00
2007-04-23,65.96,14:30:00,63.84,04:05:00,False,False,,
2007-04-24,66.3,10:05:00,64.1,12:40:00,High,High,09:00:00,10:05:00
2007-04-25,65.92,14:10:00,64.61,04:05:00,High,,09:20:00,
2007-04-26,66.4,13:05:00,64.82,14:10:00,False,Low,,09:45:00
2007-04-27,66.7,14:15:00,64.58,08:40:00,Low,,08:40:00,
2007-04-30,66.6,13:40:00,65.53,09:55:00,High,Low,08:50:00,09:55:00
2007-05-01,66.15,11:05:00,64.15,14:25:00,High,Low,09:10:00,09:45:00
2007-05-02,64.62,04:00:00,63.05,11:40:00,Low,Low,09:10:00,10:10:00
2007-05-03,64.09,06:45:00,62.74,11:25:00,Low,Low,09:05:00,10:05:00
2007-05-04,63.44,09:10:00,61.56,14:25:00,High,Low,09:10:00,09:55:00
2007-05-07,62.06,04:35:00,60.85,11:25:00,Low,,09:00:00,
2007-05-08,62.58,12:30:00,61.21,10:05:00,High,Low,08:55:00,10:05:00
2007-05-09,62.48,08:05:00,60.68,11:50:00,False,False,,
2007-05-10,62.5,09:15:00,61.38,13:50:00,High,,09:15:00,
2007-05-11,62.51,15:10:00,61.7,09:55:00,High,Low,09:05:00,09:55:00
2007-05-14,63.07,04:45:00,62.14,14:20:00,Low,Low,09:00:00,10:15:00
2007-05-15,63.3,13:00:00,62.07,07:55:00,False,High,,10:20:00
2007-05-16,63.3,04:00:00,61.9,12:25:00,Low,Low,09:25:00,10:25:00
2007-05-17,65.09,15:50:00,62.51,08:55:00,Low,High,08:55:00,10:15:00
2007-05-18,66.44,10:00:00,65.59,04:20:00,False,High,,10:00:00
2007-05-21,67.1,13:05:00,65.28,10:15:00,Low,Low,09:25:00,10:15:00
2007-05-22,66.86,08:10:00,65.4,14:00:00,Low,,09:25:00,
