date,highest_high,high_time,lowest_low,low_time
2007-04-02,66.03,09:20:00,65.08,04:05:00
2007-04-03,65.7,04:10:00,64.73,06:25:00
2007-04-04,65.09,09:00:00,63.8,09:10:00
2007-04-05,64.94,09:15:00,63.95,07:45:00
2007-04-09,63.96,09:15:00,63.4,09:00:00
2007-04-10,61.98,06:40:00,61.35,08:45:00
2007-04-11,62.2,07:50:00,61.63,09:20:00
2007-04-12,62.96,09:25:00,62.16,04:10:00
2007-04-13,64.58,04:40:00,63.7,09:25:00
2007-04-16,64.21,07:10:00,63.38,09:25:00
2007-04-17,64.64,09:20:00,63.68,04:00:00
2007-04-18,64.77,04:00:00,63.66,05:30:00
2007-04-19,64.84,06:05:00,63.78,09:05:00
2007-04-20,63.79,07:10:00,63.21,09:00:00
2007-04-23,64.54,05:55:00,63.84,04:05:00
2007-04-24,66.05,09:00:00,65.63,06:35:00
2007-04-25,65.19,09:20:00,64.61,04:05:00
2007-04-26,65.75,05:40:00,65.25,07:55:00
2007-04-27,65.49,04:30:00,64.58,08:40:00
2007-04-30,66.57,08:50:00,65.94,09:15:00
2007-05-01,65.89,09:10:00,65.2,08:50:00
2007-05-02,64.62,04:00:00,64.0,09:10:00
2007-05-03,64.09,06:45:00,63.16,09:05:00
2007-05-04,63.44,09:10:00,62.97,06:55:00
2007-05-07,62.06,04:35:00,61.06,09:00:00
2007-05-08,61.98,08:55:00,61.41,07:10:00
2007-05-09,62.48,08:05:00,61.91,04:40:00
2007-05-10,62.5,09:15:00,61.5,04:45:00
2007-05-11,62.47,09:05:00,61.8,04:05:00
2007-05-14,63.07,04:45:00,62.57,09:00:00
2007-05-15,62.61,05:45:00,62.07,07:55:00
2007-05-16,63.3,04:00:00,62.52,09:25:00
2007-05-17,63.11,07:20:00,62.51,08:55:00
2007-05-18,66.12,08:25:00,65.59,04:20:00
2007-05-21,66.38,05:20:00,65.9,09:25:00
2007-05-22,66.86,08:10:00,66.13,09:25:00
2007-05-23,65.86,06:15:00,65.3,09:10:00
2007-05-24,66.09,04:00:00,65.27,07:35:00
2007-05-25,65.14,09:20:00,64.56,04:40:00
2007-05-28,64.8,04:05:00,64.36,07:10:00
2007-05-29,64.74,04:00:00,63.9,09:25:00
2007-05-30,63.73,05:40:00,62.88,07:25:00
2007-05-31,63.51,04:05:00,63.1,07:10:00
2007-06-01,64.45,09:05:00,63.8,07:25:00
2007-06-04,65.09,08:30:00,64.53,05:00:00
2007-06-05,66.04,07:20:00,65.54,09:10:00
2007-06-06,65.78,04:15:00,65.45,08:15:00
2007-06-07,66.26,05:50:00,65.85,09:00:00
2007-06-08,66.72,04:05:00,65.55,09:00:00
2007-06-11,65.4,07:45:00,64.75,04:45:00
2007-06-12,66.08,04:50:00,65.41,09:05:00
2007-06-13,65.38,04:15:00,65.05,08:30:00
2007-06-14,67.05,09:20:00,66.11,04:00:00
2007-06-15,68.0,09:10:00,67.24,06:25:00
2007-06-18,68.68,04:10:00,67.96,08:10:00
2007-06-19,69.6,06:30:00,69.13,09:25:00
2007-06-20,69.55,04:00:00,69.06,06:55:00
2007-06-21,69.88,09:10:00,68.68,04:45:00
2007-06-22,69.4,09:20:00,68.17,06:05:00
2007-06-25,68.64,04:00:00,67.55,09:25:00
2007-06-26,69.16,08:55:00,68.49,09:20:00
2007-06-27,67.84,04:00:00,67.07,05:35:00
2007-06-28,70.09,09:25:00,68.92,04:25:00
2007-06-29,70.48,09:20:00,69.7,04:15:00
2007-07-02,70.66,05:10:00,69.9,09:25:00
2007-07-03,71.17,08:30:00,70.72,05:50:00
2007-07-04,71.22,04:00:00,70.89,04:40:00
2007-07-05,72.29,09:15:00,71.25,04:05:00
2007-07-06,72.75,09:10:00,71.56,04:20:00
